method,seed,t,R
crc,11,0.5,0.0
crc,12,0.05,0.2
crc,12,0.1,0.13333333333333333
crc,12,0.2,0.06666666666666667
crc,12,0.3,0.06666666666666667
crc,12,0.5,0.0
crc,13,0.05,0.06666666666666667
crc,13,0.1,0.03333333333333333
crc,13,0.2,0.03333333333333333
crc,13,0.3,0.0
crc,13,0.5,0.0
crc,14,0.05,0.06451612903225806
crc,14,0.1,0.06451612903225806
crc,14,0.2,0.03225806451612903
crc,14,0.3,0.0
crc,14,0.5,0.0
crc,15,0.05,0.16129032258064516
crc,15,0.1,0.0967741935483871
crc,15,0.2,0.06451612903225806
crc,15,0.3,0.03225806451612903
crc,15,0.5,0.03225806451612903
crc,16,0.05,0.125
crc,16,0.1,0.125
crc,16,0.2,0.0625
crc,16,0.3,0.03125
crc,16,0.5,0.0
crc,17,0.05,0.12903225806451613
crc,17,0.1,0.0967741935483871
crc,17,0.2,0.06451612903225806
crc,17,0.3,0.06451612903225806
crc,17,0.5,0.03225806451612903
crc,18,0.05,0.16129032258064516
crc,18,0.1,0.0967741935483871
crc,18,0.2,0.06451612903225806
crc,18,0.3,0.03225806451612903
crc,18,0.5,0.03225806451612903
crc,19,0.05,0.09375
crc,19,0.1,0.0625
crc,19,0.2,0.03125
crc,19,0.3,0.03125
crc,19,0.5,0.0
rac,0,0.05,0.2
rac,0,0.1,0.2
rac,0,0.2,0.16666666666666666
rac,0,0.3,0.1
rac,0,0.5,0.06666666666666667
rac,1,0.05,0.09375
rac,1,0.1,0.09375
rac,1,0.2,0.0625
rac,1,0.3,0.03125
rac,1,0.5,0.0
rac,2,0.05,0.0967741935483871
rac,2,0.1,0.06451612903225806
rac,2,0.2,0.06451612903225806
rac,2,0.3,0.06451612903225806
rac,2,0.5,0.0
rac,3,0.05,0.27586206896551724
rac,3,0.1,0.2413793103448276
rac,3,0.2,0.1724137931034483
rac,3,0.3,0.10344827586206896
rac,3,0.5,0.06896551724137931
rac,4,0.05,0.16129032258064516
rac,4,0.1,0.0967741935483871
rac,4,0.2,0.06451612903225806
rac,4,0.3,0.06451612903225806
rac,4,0.5,0.0
rac,5,0.05,0.034482758620689655
rac,5,0.1,0.034482758620689655
rac,5,0.2,0.034482758620689655
rac,5,0.3,0.034482758620689655
rac,5,0.5,0.034482758620689655
rac,6,0.05,0.16129032258064516
rac,6,0.1,0.0967741935483871
rac,6,0.2,0.0967741935483871
rac,6,0.3,0.06451612903225806
rac,6,0.5,0.03225806451612903
rac,7,0.05,0.125
rac,7,0.1,0.09375
rac,7,0.2,0.03125
rac,7,0.3,0.0
rac,7,0.5,0.0
rac,8,0.05,0.1
rac,8,0.1,0.1
rac,8,0.2,0.03333333333333333
rac,8,0.3,0.03333333333333333
rac,8,0.5,0.0
rac,9,0.05,0.22580645161290322
rac,9,0.1,0.12903225806451613
rac,9,0.2,0.0967741935483871
rac,9,0.3,0.0967741935483871
rac,9,0.5,0.03225806451612903
rac,10,0.05,0.03333333333333333
rac,10,0.1,0.03333333333333333
rac,10,0.2,0.03333333333333333
rac,10,0.3,0.0
rac,10,0.5,0.0
rac,11,0.05,0.03225806451612903
rac,11,0.1,0.03225806451612903
rac,11,0.2,0.0
rac,11,0.3,0.0
rac,11,0.5,0.0
rac,12,0.05,0.2
rac,12,0.1,0.13333333333333333
rac,12,0.2,0.06666666666666667
rac,12,0.3,0.06666666666666667
rac,12,0.5,0.0
rac,13,0.05,0.06666666666666667
rac,13,0.1,0.03333333333333333
rac,13,0.2,0.03333333333333333
rac,13,0.3,0.0
rac,13,0.5,0.0
rac,14,0.05,0.06451612903225806
rac,14,0.1,0.06451612903225806
rac,14,0.2,0.03225806451612903
rac,14,0.3,0.0
rac,14,0.5,0.0
rac,15,0.05,0.16129032258064516
rac,15,0.1,0.0967741935483871
rac,15,0.2,0.06451612903225806
rac,15,0.3,0.03225806451612903
rac,15,0.5,0.03225806451612903
rac,16,0.05,0.125
rac,16,0.1,0.125
rac,16,0.2,0.0625
rac,16,0.3,0.03125
rac,16,0.5,0.0
rac,17,0.05,0.12903225806451613
rac,17,0.1,0.0967741935483871
rac,17,0.2,0.06451612903225806
rac,17,0.3,0.06451612903225806
rac,17,0.5,0.03225806451612903
rac,18,0.05,0.16129032258064516
rac,18,0.1,0.0967741935483871
rac,18,0.2,0.06451612903225806
rac,18,0.3,0.03225806451612903
rac,18,0.5,0.03225806451612903
rac,19,0.05,0.09375
rac,19,0.1,0.0625
rac,19,0.2,0.03125
rac,19,0.3,0.03125
rac,19,0.5,0.0
split_cp,0,0.05,
split_cp,0,0.1,
split_cp,0,0.2,
split_cp,0,0.3,0.1
split_cp,0,0.5,0.06666666666666667
split_cp,1,0.05,
split_cp,1,0.1,
split_cp,1,0.2,
split_cp,1,0.3,0.03125
split_cp,1,0.5,0.0
split_cp,2,0.05,
split_cp,2,0.1,
split_cp,2,0.2,
split_cp,2,0.3,0.06451612903225806
split_cp,2,0.5,0.0
split_cp,3,0.05,
split_cp,3,0.1,
split_cp,3,0.2,
split_cp,3,0.3,
split_cp,3,0.5,0.06896551724137931
split_cp,4,0.05,
split_cp,4,0.1,
split_cp,4,0.2,
split_cp,4,0.3,0.06451612903225806
split_cp,4,0.5,0.0
