seed,method,B,recall,best,regret
0,random,5,0.3333333333333333,-0.974607254535106,0.0
0,random,10,0.3333333333333333,-0.974607254535106,0.0
0,random,15,0.6666666666666666,-0.974607254535106,0.0
0,random,20,0.6666666666666666,-0.974607254535106,0.0
0,random,25,1.0,-0.974607254535106,0.0
0,random,30,1.0,-0.974607254535106,0.0
0,sabatier,5,0.0,-1.2358912135624531,0.26128395902734713
0,sabatier,10,0.0,-1.2358912135624531,0.26128395902734713
0,sabatier,15,0.0,-1.148862242809988,0.17425498827488195
0,sabatier,20,0.0,-1.146596744307065,0.17198948977195905
0,sabatier,25,0.3333333333333333,-0.974607254535106,0.0
0,sabatier,30,1.0,-0.974607254535106,0.0
0,ml_rank,5,0.6666666666666666,-0.974607254535106,0.0
0,ml_rank,10,1.0,-0.974607254535106,0.0
0,ml_rank,15,1.0,-0.974607254535106,0.0
0,ml_rank,20,1.0,-0.974607254535106,0.0
0,ml_rank,25,1.0,-0.974607254535106,0.0
0,ml_rank,30,1.0,-0.974607254535106,0.0
0,variance,5,0.0,-1.1533760265967032,0.17876877206159725
0,variance,10,0.0,-1.1123136059758885,0.13770635144078247
0,variance,15,0.3333333333333333,-0.974607254535106,0.0
0,variance,20,0.6666666666666666,-0.974607254535106,0.0
0,variance,25,0.6666666666666666,-0.974607254535106,0.0
0,variance,30,1.0,-0.974607254535106,0.0
0,ucb,5,0.6666666666666666,-0.974607254535106,0.0
0,ucb,10,1.0,-0.974607254535106,0.0
0,ucb,15,1.0,-0.974607254535106,0.0
0,ucb,20,1.0,-0.974607254535106,0.0
0,ucb,25,1.0,-0.974607254535106,0.0
0,ucb,30,1.0,-0.974607254535106,0.0
0,ei,5,0.6666666666666666,-0.974607254535106,0.0
0,ei,10,1.0,-0.974607254535106,0.0
0,ei,15,1.0,-0.974607254535106,0.0
0,ei,20,1.0,-0.974607254535106,0.0
0,ei,25,1.0,-0.974607254535106,0.0
0,ei,30,1.0,-0.974607254535106,0.0
0,voi,5,0.3333333333333333,-1.0324204988154486,0.057813244280342624
0,voi,10,0.6666666666666666,-0.974607254535106,0.0
0,voi,15,1.0,-0.974607254535106,0.0
0,voi,20,1.0,-0.974607254535106,0.0
0,voi,25,1.0,-0.974607254535106,0.0
0,voi,30,1.0,-0.974607254535106,0.0
0,conformal_width,5,0.0,-1.1533760265967032,0.17876877206159725
0,conformal_width,10,0.0,-1.1123136059758885,0.13770635144078247
0,conformal_width,15,0.3333333333333333,-0.974607254535106,0.0
0,conformal_width,20,0.6666666666666666,-0.974607254535106,0.0
0,conformal_width,25,0.6666666666666666,-0.974607254535106,0.0
0,conformal_width,30,1.0,-0.974607254535106,0.0
0,risktriage,5,0.6666666666666666,-0.974607254535106,0.0
0,risktriage,10,1.0,-0.974607254535106,0.0
0,risktriage,15,1.0,-0.974607254535106,0.0
0,risktriage,20,1.0,-0.974607254535106,0.0
0,risktriage,25,1.0,-0.974607254535106,0.0
0,risktriage,30,1.0,-0.974607254535106,0.0
1,random,5,0.25,-1.1495656394996336,0.17495838496452765
1,random,10,0.25,-1.1495656394996336,0.17495838496452765
1,random,15,0.25,-1.1495656394996336,0.17495838496452765
1,random,20,0.25,-1.1495656394996336,0.17495838496452765
1,random,25,0.5,-1.1495656394996336,0.17495838496452765
1,random,30,0.75,-1.1495656394996336,0.17495838496452765
1,sabatier,5,0.0,-1.3955956615445482,0.4209884070094422
1,sabatier,10,0.0,-1.2358912135624531,0.26128395902734713
1,sabatier,15,0.0,-1.2358912135624531,0.26128395902734713
1,sabatier,20,0.25,-1.2018732783444146,0.2272660238093086
1,sabatier,25,0.25,-1.2018732783444146,0.2272660238093086
1,sabatier,30,0.75,-0.974607254535106,0.0
1,ml_rank,5,0.5,-0.974607254535106,0.0
1,ml_rank,10,1.0,-0.974607254535106,0.0
1,ml_rank,15,1.0,-0.974607254535106,0.0
1,ml_rank,20,1.0,-0.974607254535106,0.0
1,ml_rank,25,1.0,-0.974607254535106,0.0
1,ml_rank,30,1.0,-0.974607254535106,0.0
1,variance,5,0.0,-1.2358912135624531,0.26128395902734713
1,variance,10,0.25,-1.2018732783444146,0.2272660238093086
1,variance,15,0.5,-1.2018732783444146,0.2272660238093086
1,variance,20,0.5,-1.2018732783444146,0.2272660238093086
1,variance,25,0.75,-0.974607254535106,0.0
1,variance,30,1.0,-0.974607254535106,0.0
1,ucb,5,0.5,-0.974607254535106,0.0
1,ucb,10,1.0,-0.974607254535106,0.0
1,ucb,15,1.0,-0.974607254535106,0.0
1,ucb,20,1.0,-0.974607254535106,0.0
1,ucb,25,1.0,-0.974607254535106,0.0
1,ucb,30,1.0,-0.974607254535106,0.0
1,ei,5,0.5,-0.974607254535106,0.0
1,ei,10,1.0,-0.974607254535106,0.0
1,ei,15,1.0,-0.974607254535106,0.0
1,ei,20,1.0,-0.974607254535106,0.0
1,ei,25,1.0,-0.974607254535106,0.0
1,ei,30,1.0,-0.974607254535106,0.0
1,voi,5,0.5,-1.2018732783444146,0.2272660238093086
1,voi,10,1.0,-0.974607254535106,0.0
1,voi,15,1.0,-0.974607254535106,0.0
1,voi,20,1.0,-0.974607254535106,0.0
1,voi,25,1.0,-0.974607254535106,0.0
1,voi,30,1.0,-0.974607254535106,0.0
1,conformal_width,5,0.0,-1.2358912135624531,0.26128395902734713
1,conformal_width,10,0.25,-1.2018732783444146,0.2272660238093086
1,conformal_width,15,0.5,-1.2018732783444146,0.2272660238093086
1,conformal_width,20,0.5,-1.2018732783444146,0.2272660238093086
1,conformal_width,25,0.75,-0.974607254535106,0.0
1,conformal_width,30,1.0,-0.974607254535106,0.0
1,risktriage,5,0.5,-0.974607254535106,0.0
1,risktriage,10,1.0,-0.974607254535106,0.0
1,risktriage,15,1.0,-0.974607254535106,0.0
1,risktriage,20,1.0,-0.974607254535106,0.0
1,risktriage,25,1.0,-0.974607254535106,0.0
1,risktriage,30,1.0,-0.974607254535106,0.0
2,random,5,0.0,-1.1914165941889756,0.21680933965386961
2,random,10,0.0,-1.1914165941889756,0.21680933965386961
2,random,15,0.25,-1.1132591074220013,0.1386518528868953
2,random,20,0.5,-1.1132591074220013,0.1386518528868953
2,random,25,0.75,-0.974607254535106,0.0
2,random,30,1.0,-0.974607254535106,0.0
2,sabatier,5,0.0,-1.2358912135624531,0.26128395902734713
2,sabatier,10,0.0,-1.2358912135624531,0.26128395902734713
2,sabatier,15,0.0,-1.1914165941889756,0.21680933965386961
2,sabatier,20,0.25,-1.148862242809988,0.17425498827488195
2,sabatier,25,0.5,-0.974607254535106,0.0
2,sabatier,30,1.0,-0.974607254535106,0.0
2,ml_rank,5,0.0,-1.2074259710700446,0.23281871653493857
2,ml_rank,10,1.0,-0.974607254535106,0.0
2,ml_rank,15,1.0,-0.974607254535106,0.0
2,ml_rank,20,1.0,-0.974607254535106,0.0
2,ml_rank,25,1.0,-0.974607254535106,0.0
2,ml_rank,30,1.0,-0.974607254535106,0.0
2,variance,5,0.0,-1.1914165941889756,0.21680933965386961
2,variance,10,0.0,-1.1914165941889756,0.21680933965386961
2,variance,15,0.0,-1.1826047022913606,0.20799744775625462
2,variance,20,0.5,-1.0764007413980643,0.1017934868629583
2,variance,25,1.0,-0.974607254535106,0.0
2,variance,30,1.0,-0.974607254535106,0.0
2,ucb,5,0.0,-1.2074259710700446,0.23281871653493857
2,ucb,10,1.0,-0.974607254535106,0.0
2,ucb,15,1.0,-0.974607254535106,0.0
2,ucb,20,1.0,-0.974607254535106,0.0
2,ucb,25,1.0,-0.974607254535106,0.0
2,ucb,30,1.0,-0.974607254535106,0.0
2,ei,5,0.0,-1.2074259710700446,0.23281871653493857
2,ei,10,1.0,-0.974607254535106,0.0
2,ei,15,1.0,-0.974607254535106,0.0
2,ei,20,1.0,-0.974607254535106,0.0
2,ei,25,1.0,-0.974607254535106,0.0
2,ei,30,1.0,-0.974607254535106,0.0
2,voi,5,0.25,-1.0764007413980643,0.1017934868629583
2,voi,10,0.75,-1.0764007413980643,0.1017934868629583
2,voi,15,1.0,-0.974607254535106,0.0
2,voi,20,1.0,-0.974607254535106,0.0
2,voi,25,1.0,-0.974607254535106,0.0
2,voi,30,1.0,-0.974607254535106,0.0
2,conformal_width,5,0.0,-1.1914165941889756,0.21680933965386961
2,conformal_width,10,0.0,-1.1914165941889756,0.21680933965386961
2,conformal_width,15,0.0,-1.1826047022913606,0.20799744775625462
2,conformal_width,20,0.5,-1.0764007413980643,0.1017934868629583
2,conformal_width,25,1.0,-0.974607254535106,0.0
2,conformal_width,30,1.0,-0.974607254535106,0.0
2,risktriage,5,0.25,-0.974607254535106,0.0
2,risktriage,10,1.0,-0.974607254535106,0.0
2,risktriage,15,1.0,-0.974607254535106,0.0
2,risktriage,20,1.0,-0.974607254535106,0.0
2,risktriage,25,1.0,-0.974607254535106,0.0
2,risktriage,30,1.0,-0.974607254535106,0.0
3,random,5,0.0,-1.2252923783298049,0.27596510977102207
3,random,10,0.0,-1.2252923783298049,0.27596510977102207
3,random,15,0.3333333333333333,-1.146596744307065,0.19726947574828224
3,random,20,1.0,-0.9493272685587828,0.0
3,random,25,1.0,-0.9493272685587828,0.0
3,sabatier,5,0.0,-1.2629169320732476,0.3135896635144648
3,sabatier,10,0.0,-1.2629169320732476,0.3135896635144648
3,sabatier,15,0.0,-1.2629169320732476,0.3135896635144648
3,sabatier,20,0.3333333333333333,-1.146596744307065,0.19726947574828224
3,sabatier,25,0.6666666666666666,-0.9493272685587828,0.0
3,ml_rank,5,0.3333333333333333,-0.9493272685587828,0.0
3,ml_rank,10,0.6666666666666666,-0.9493272685587828,0.0
3,ml_rank,15,1.0,-0.9493272685587828,0.0
3,ml_rank,20,1.0,-0.9493272685587828,0.0
3,ml_rank,25,1.0,-0.9493272685587828,0.0
3,variance,5,0.0,-1.2629169320732476,0.3135896635144648
3,variance,10,0.6666666666666666,-0.9493272685587828,0.0
3,variance,15,0.6666666666666666,-0.9493272685587828,0.0
3,variance,20,0.6666666666666666,-0.9493272685587828,0.0
3,variance,25,1.0,-0.9493272685587828,0.0
3,ucb,5,0.3333333333333333,-0.9493272685587828,0.0
3,ucb,10,0.6666666666666666,-0.9493272685587828,0.0
3,ucb,15,1.0,-0.9493272685587828,0.0
3,ucb,20,1.0,-0.9493272685587828,0.0
3,ucb,25,1.0,-0.9493272685587828,0.0
3,ei,5,0.3333333333333333,-0.9493272685587828,0.0
3,ei,10,0.6666666666666666,-0.9493272685587828,0.0
3,ei,15,0.6666666666666666,-0.9493272685587828,0.0
3,ei,20,1.0,-0.9493272685587828,0.0
3,ei,25,1.0,-0.9493272685587828,0.0
3,voi,5,0.3333333333333333,-1.0324204988154486,0.08309323025666582
3,voi,10,0.6666666666666666,-0.9493272685587828,0.0
3,voi,15,0.6666666666666666,-0.9493272685587828,0.0
3,voi,20,0.6666666666666666,-0.9493272685587828,0.0
3,voi,25,1.0,-0.9493272685587828,0.0
3,conformal_width,5,0.0,-1.2629169320732476,0.3135896635144648
3,conformal_width,10,0.6666666666666666,-0.9493272685587828,0.0
3,conformal_width,15,0.6666666666666666,-0.9493272685587828,0.0
3,conformal_width,20,0.6666666666666666,-0.9493272685587828,0.0
3,conformal_width,25,1.0,-0.9493272685587828,0.0
3,risktriage,5,0.3333333333333333,-0.9493272685587828,0.0
3,risktriage,10,0.6666666666666666,-0.9493272685587828,0.0
3,risktriage,15,1.0,-0.9493272685587828,0.0
3,risktriage,20,1.0,-0.9493272685587828,0.0
3,risktriage,25,1.0,-0.9493272685587828,0.0
4,random,5,0.25,-1.1683204472077595,0.09564136538090784
4,random,10,0.5,-1.1344828142871357,0.06180373246028403
4,random,15,0.5,-1.1344828142871357,0.06180373246028403
4,random,20,0.5,-1.1344828142871357,0.06180373246028403
4,random,25,0.75,-1.1123136059758885,0.03963452414903679
4,random,30,1.0,-1.0726790818268517,0.0
4,sabatier,5,0.0,-1.2344853014986072,0.16180621967175557
4,sabatier,10,0.0,-1.2344853014986072,0.16180621967175557
4,sabatier,15,0.0,-1.2341850807032366,0.16150599887638495
4,sabatier,20,0.0,-1.2341850807032366,0.16150599887638495
4,sabatier,25,0.25,-1.1123136059758885,0.03963452414903679
4,sabatier,30,0.75,-1.1123136059758885,0.03963452414903679
4,ml_rank,5,0.75,-1.0726790818268517,0.0
4,ml_rank,10,1.0,-1.0726790818268517,0.0
4,ml_rank,15,1.0,-1.0726790818268517,0.0
4,ml_rank,20,1.0,-1.0726790818268517,0.0
4,ml_rank,25,1.0,-1.0726790818268517,0.0
4,ml_rank,30,1.0,-1.0726790818268517,0.0
4,variance,5,0.0,-1.2258029996167124,0.15312391778986068
4,variance,10,0.25,-1.1123136059758885,0.03963452414903679
4,variance,15,0.5,-1.0726790818268517,0.0
4,variance,20,1.0,-1.0726790818268517,0.0
4,variance,25,1.0,-1.0726790818268517,0.0
4,variance,30,1.0,-1.0726790818268517,0.0
4,ucb,5,0.75,-1.0726790818268517,0.0
4,ucb,10,1.0,-1.0726790818268517,0.0
4,ucb,15,1.0,-1.0726790818268517,0.0
4,ucb,20,1.0,-1.0726790818268517,0.0
4,ucb,25,1.0,-1.0726790818268517,0.0
4,ucb,30,1.0,-1.0726790818268517,0.0
4,ei,5,0.75,-1.0726790818268517,0.0
4,ei,10,1.0,-1.0726790818268517,0.0
4,ei,15,1.0,-1.0726790818268517,0.0
4,ei,20,1.0,-1.0726790818268517,0.0
4,ei,25,1.0,-1.0726790818268517,0.0
4,ei,30,1.0,-1.0726790818268517,0.0
4,voi,5,0.25,-1.1123136059758885,0.03963452414903679
4,voi,10,1.0,-1.0726790818268517,0.0
4,voi,15,1.0,-1.0726790818268517,0.0
4,voi,20,1.0,-1.0726790818268517,0.0
4,voi,25,1.0,-1.0726790818268517,0.0
4,voi,30,1.0,-1.0726790818268517,0.0
4,conformal_width,5,0.0,-1.2258029996167124,0.15312391778986068
4,conformal_width,10,0.25,-1.1123136059758885,0.03963452414903679
4,conformal_width,15,0.5,-1.0726790818268517,0.0
4,conformal_width,20,1.0,-1.0726790818268517,0.0
4,conformal_width,25,1.0,-1.0726790818268517,0.0
4,conformal_width,30,1.0,-1.0726790818268517,0.0
4,risktriage,5,0.75,-1.0726790818268517,0.0
4,risktriage,10,1.0,-1.0726790818268517,0.0
4,risktriage,15,1.0,-1.0726790818268517,0.0
4,risktriage,20,1.0,-1.0726790818268517,0.0
4,risktriage,25,1.0,-1.0726790818268517,0.0
4,risktriage,30,1.0,-1.0726790818268517,0.0
5,random,5,0.0,-1.458889371882783,0.34657576590689443
5,random,10,0.0,-1.1533760265967032,0.04106242062081478
5,random,15,0.0,-1.1533760265967032,0.04106242062081478
5,random,20,0.6666666666666666,-1.1123136059758885,0.0
5,random,25,0.6666666666666666,-1.1123136059758885,0.0
5,sabatier,5,0.0,-1.2732104971904978,0.16089689121460937
5,sabatier,10,0.0,-1.2732104971904978,0.16089689121460937
5,sabatier,15,0.0,-1.2732104971904978,0.16089689121460937
