n,p_trust,p_drop,p_test,false_trust,false_drop,wrong_nontest,method,triage_risk,full_risk,seed,param,coverage
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,prob_threshold,0.2,0.21333333333333335,0,0.05,
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,prob_threshold,0.2,0.21333333333333335,0,0.1,
30,0.43333333333333335,0.5,0.06666666666666667,0.23076923076923078,0.2,0.2,prob_threshold,0.2,0.21333333333333335,0,0.15000000000000002,
30,0.43333333333333335,0.5333333333333333,0.03333333333333333,0.23076923076923078,0.1875,0.2,prob_threshold,0.2,0.20666666666666667,0,0.2,
30,0.43333333333333335,0.5333333333333333,0.03333333333333333,0.23076923076923078,0.1875,0.2,prob_threshold,0.2,0.20666666666666667,0,0.25,
30,0.43333333333333335,0.5333333333333333,0.03333333333333333,0.23076923076923078,0.1875,0.2,prob_threshold,0.2,0.20666666666666667,0,0.3,
30,0.43333333333333335,0.5333333333333333,0.03333333333333333,0.23076923076923078,0.1875,0.2,prob_threshold,0.2,0.20666666666666667,0,0.35000000000000003,
30,0.43333333333333335,0.5333333333333333,0.03333333333333333,0.23076923076923078,0.1875,0.2,prob_threshold,0.2,0.20666666666666667,0,0.4,
30,0.43333333333333335,0.5666666666666667,0.0,0.23076923076923078,0.23529411764705882,0.23333333333333334,prob_threshold,0.23333333333333334,0.23333333333333334,0,0.45,
30,0.43333333333333335,0.4666666666666667,0.1,0.23076923076923078,0.14285714285714285,0.16666666666666666,uncertainty,0.16666666666666666,0.18666666666666665,0,0.1,
30,0.36666666666666664,0.43333333333333335,0.2,0.18181818181818182,0.15384615384615385,0.13333333333333333,uncertainty,0.13333333333333333,0.1733333333333333,0,0.2,
30,0.26666666666666666,0.43333333333333335,0.3,0.125,0.15384615384615385,0.1,uncertainty,0.1,0.16,0,0.30000000000000004,
30,0.26666666666666666,0.3333333333333333,0.4,0.125,0.2,0.1,uncertainty,0.1,0.18000000000000002,0,0.4,
30,0.16666666666666666,0.3333333333333333,0.5,0.0,0.2,0.06666666666666667,uncertainty,0.06666666666666667,0.16666666666666669,0,0.5,
30,0.06666666666666667,0.3333333333333333,0.6,0.0,0.2,0.06666666666666667,uncertainty,0.06666666666666667,0.18666666666666668,0,0.6,
