method,seed,r,T
crc,12,0.075,0.2
crc,12,0.1,0.13333333333333333
crc,12,0.125,0.13333333333333333
crc,13,0.03,0.23333333333333334
crc,13,0.05,0.06666666666666667
crc,13,0.075,0.0
crc,13,0.1,0.0
crc,13,0.125,0.0
crc,14,0.03,0.25806451612903225
crc,14,0.05,0.12903225806451613
crc,14,0.075,0.0
crc,14,0.1,0.0
crc,14,0.125,0.0
crc,15,0.03,0.5483870967741935
crc,15,0.05,0.25806451612903225
crc,15,0.075,0.1935483870967742
crc,15,0.1,0.0967741935483871
crc,15,0.125,0.0967741935483871
crc,16,0.03,0.3125
crc,16,0.05,0.21875
crc,16,0.075,0.15625
crc,16,0.1,0.125
crc,16,0.125,0.03125
crc,17,0.03,0.6774193548387096
crc,17,0.05,0.3225806451612903
crc,17,0.075,0.16129032258064516
crc,17,0.1,0.06451612903225806
crc,17,0.125,0.06451612903225806
crc,18,0.03,
crc,18,0.05,0.2903225806451613
crc,18,0.075,0.12903225806451613
crc,18,0.1,0.0967741935483871
crc,18,0.125,0.0967741935483871
crc,19,0.03,0.3125
crc,19,0.05,0.1875
crc,19,0.075,0.0625
crc,19,0.1,0.0
crc,19,0.125,0.0
rac,0,0.03,0.7666666666666667
rac,0,0.05,0.6333333333333333
rac,0,0.075,0.4
rac,0,0.1,0.3
rac,0,0.125,0.3
rac,1,0.03,0.40625
rac,1,0.05,0.25
rac,1,0.075,0.125
rac,1,0.1,0.0
rac,1,0.125,0.0
rac,2,0.03,0.4838709677419355
rac,2,0.05,0.3548387096774194
rac,2,0.075,0.0967741935483871
rac,2,0.1,0.0
rac,2,0.125,0.0
rac,3,0.03,0.5172413793103449
rac,3,0.05,0.5172413793103449
rac,3,0.075,0.3793103448275862
rac,3,0.1,0.3793103448275862
rac,3,0.125,0.2413793103448276
rac,4,0.03,0.3870967741935484
rac,4,0.05,0.3870967741935484
rac,4,0.075,0.12903225806451613
rac,4,0.1,0.0967741935483871
rac,4,0.125,0.0967741935483871
rac,5,0.03,0.5517241379310345
rac,5,0.05,0.034482758620689655
rac,5,0.075,0.0
rac,5,0.1,0.0
rac,5,0.125,0.0
rac,6,0.03,0.7741935483870968
rac,6,0.05,0.3225806451612903
rac,6,0.075,0.25806451612903225
rac,6,0.1,0.0967741935483871
rac,6,0.125,0.0967741935483871
rac,7,0.03,0.25
rac,7,0.05,0.1875
rac,7,0.075,0.125
rac,7,0.1,0.0625
rac,7,0.125,0.0
rac,8,0.03,0.36666666666666664
rac,8,0.05,0.16666666666666666
rac,8,0.075,0.16666666666666666
rac,8,0.1,0.03333333333333333
rac,8,0.125,0.03333333333333333
rac,9,0.03,0.6451612903225806
rac,9,0.05,0.3548387096774194
rac,9,0.075,0.3548387096774194
rac,9,0.1,0.1935483870967742
rac,9,0.125,0.1935483870967742
rac,10,0.03,0.3
rac,10,0.05,0.03333333333333333
rac,10,0.075,0.0
rac,10,0.1,0.0
rac,10,0.125,0.0
rac,11,0.03,0.16129032258064516
rac,11,0.05,0.0
rac,11,0.075,0.0
rac,11,0.1,0.0
rac,11,0.125,0.0
rac,12,0.03,0.5
rac,12,0.05,0.3333333333333333
rac,12,0.075,0.2
rac,12,0.1,0.13333333333333333
rac,12,0.125,0.13333333333333333
rac,13,0.03,0.23333333333333334
rac,13,0.05,0.06666666666666667
rac,13,0.075,0.0
rac,13,0.1,0.0
rac,13,0.125,0.0
rac,14,0.03,0.25806451612903225
rac,14,0.05,0.12903225806451613
rac,14,0.075,0.0
rac,14,0.1,0.0
rac,14,0.125,0.0
rac,15,0.03,0.5483870967741935
rac,15,0.05,0.25806451612903225
rac,15,0.075,0.1935483870967742
rac,15,0.1,0.0967741935483871
rac,15,0.125,0.0967741935483871
rac,16,0.03,0.3125
rac,16,0.05,0.21875
rac,16,0.075,0.15625
rac,16,0.1,0.125
rac,16,0.125,0.03125
rac,17,0.03,0.6774193548387096
rac,17,0.05,0.3225806451612903
rac,17,0.075,0.16129032258064516
rac,17,0.1,0.06451612903225806
rac,17,0.125,0.06451612903225806
rac,18,0.03,
rac,18,0.05,0.2903225806451613
rac,18,0.075,0.12903225806451613
rac,18,0.1,0.0967741935483871
rac,18,0.125,0.0967741935483871
rac,19,0.03,0.3125
rac,19,0.05,0.1875
rac,19,0.075,0.0625
rac,19,0.1,0.0
rac,19,0.125,0.0
split_cp,0,0.03,0.7666666666666667
split_cp,0,0.05,0.5666666666666667
split_cp,0,0.075,0.3333333333333333
split_cp,0,0.1,0.3
split_cp,0,0.125,0.3
split_cp,1,0.03,0.34375
split_cp,1,0.05,0.25
split_cp,1,0.075,0.25
split_cp,1,0.1,0.25
split_cp,1,0.125,0.25
split_cp,2,0.03,0.41935483870967744
split_cp,2,0.05,0.41935483870967744
split_cp,2,0.075,0.22580645161290322
split_cp,2,0.1,0.22580645161290322
split_cp,2,0.125,0.22580645161290322
split_cp,3,0.03,0.5862068965517241
split_cp,3,0.05,0.5862068965517241
split_cp,3,0.075,0.3793103448275862
split_cp,3,0.1,0.3793103448275862
split_cp,3,0.125,0.3103448275862069
split_cp,4,0.03,0.3870967741935484
split_cp,4,0.05,0.3870967741935484
split_cp,4,0.075,0.25806451612903225
split_cp,4,0.1,0.25806451612903225
split_cp,4,0.125,0.25806451612903225
split_cp,5,0.03,0.5517241379310345
split_cp,5,0.05,0.2413793103448276
split_cp,5,0.075,0.2413793103448276
split_cp,5,0.1,0.2413793103448276
split_cp,5,0.125,0.2413793103448276
split_cp,6,0.03,0.8064516129032258
split_cp,6,0.05,0.3548387096774194
split_cp,6,0.075,0.25806451612903225
split_cp,6,0.1,0.25806451612903225
split_cp,6,0.125,0.25806451612903225
split_cp,7,0.03,0.21875
split_cp,7,0.05,0.1875
split_cp,7,0.075,0.1875
split_cp,7,0.1,0.1875
split_cp,7,0.125,0.1875
split_cp,8,0.03,0.36666666666666664
split_cp,8,0.05,0.23333333333333334
split_cp,8,0.075,0.23333333333333334
split_cp,8,0.1,0.23333333333333334
split_cp,8,0.125,0.23333333333333334
split_cp,9,0.03,0.6451612903225806
split_cp,9,0.05,0.3548387096774194
split_cp,9,0.075,0.2903225806451613
split_cp,9,0.1,0.2903225806451613
split_cp,9,0.125,0.2903225806451613
split_cp,10,0.03,0.3
split_cp,10,0.05,0.1
split_cp,10,0.075,0.1
split_cp,10,0.1,0.1
split_cp,10,0.125,0.1
split_cp,11,0.03,0.16129032258064516
split_cp,11,0.05,0.16129032258064516
split_cp,11,0.075,0.16129032258064516
split_cp,11,0.1,0.16129032258064516
split_cp,11,0.125,0.16129032258064516
split_cp,12,0.03,0.4666666666666667
split_cp,12,0.05,0.4666666666666667
split_cp,12,0.075,0.4666666666666667
split_cp,12,0.1,0.4666666666666667
split_cp,12,0.125,0.4666666666666667
split_cp,13,0.03,0.36666666666666664
split_cp,13,0.05,0.36666666666666664
split_cp,13,0.075,0.36666666666666664
split_cp,13,0.1,0.36666666666666664
split_cp,13,0.125,0.36666666666666664
split_cp,14,0.03,0.3225806451612903
split_cp,14,0.05,0.3225806451612903
split_cp,14,0.075,0.3225806451612903
split_cp,14,0.1,0.3225806451612903
split_cp,14,0.125,0.3225806451612903
split_cp,15,0.03,0.7096774193548387
split_cp,15,0.05,0.25806451612903225
split_cp,15,0.075,0.22580645161290322
split_cp,15,0.1,0.22580645161290322
split_cp,15,0.125,0.22580645161290322
split_cp,16,0.03,0.375
split_cp,16,0.05,0.21875
split_cp,16,0.075,0.15625
split_cp,16,0.1,0.125
split_cp,16,0.125,0.03125
split_cp,17,0.03,
split_cp,17,0.05,0.3225806451612903
split_cp,17,0.075,0.1935483870967742
split_cp,17,0.1,0.1935483870967742
split_cp,17,0.125,0.1935483870967742
split_cp,18,0.03,
split_cp,18,0.05,0.3225806451612903
split_cp,18,0.075,0.3225806451612903
split_cp,18,0.1,0.3225806451612903
split_cp,18,0.125,0.3225806451612903
split_cp,19,0.03,0.28125
split_cp,19,0.05,0.28125
split_cp,19,0.075,0.28125
split_cp,19,0.1,0.28125
split_cp,19,0.125,0.28125
uncertainty,0,0.03,0.7
uncertainty,0,0.05,0.6666666666666666
uncertainty,0,0.075,0.4666666666666667
uncertainty,0,0.1,0.26666666666666666
uncertainty,0,0.125,0.26666666666666666
uncertainty,1,0.03,0.8125
uncertainty,1,0.05,0.3125
uncertainty,1,0.075,0.09375
uncertainty,1,0.1,0.0
uncertainty,1,0.125,0.0
uncertainty,2,0.03,0.45161290322580644
uncertainty,2,0.05,0.45161290322580644
uncertainty,2,0.075,0.06451612903225806
uncertainty,2,0.1,0.0
uncertainty,2,0.125,0.0
uncertainty,3,0.03,0.8620689655172413
uncertainty,3,0.05,0.6896551724137931
uncertainty,3,0.075,0.41379310344827586
uncertainty,3,0.1,0.41379310344827586
